ID,file,start.in.file,end.in.file,bottom.freq,top.freq,label
1,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,8206.12667148815,8206.47562435574,581.221815478475,2134.86683637097,10_8205
2,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,8206.92279683661,8207.31810742712,482.052984357678,2283.62008305216,10_8205
3,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,8207.74992441487,8208.11074964686,581.221815478475,2184.45125193136,10_8205
4,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,17474.6869801679,17475.0613462795,498.58112287781,2184.45125193136,10_17475
5,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,17475.7486830139,17476.3075214078,498.58112287781,2217.50752897163,10_17475
6,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,17476.7561418093,17477.3393154465,482.052984357678,2167.92311341123,10_17475
7,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19493.7426981339,19493.9582771726,647.334369559006,2713.35168457562,10_19490
8,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19494.2823501164,19494.4804900657,564.693676958342,3060.44259349841,10_19490
9,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19494.7687722458,19494.968163098,548.165538438209,2663.76726901522,10_19490
10,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19495.2433530479,19495.4717003775,597.749953998608,2762.93610013602,10_19495
11,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19495.7430951064,19495.9407227105,564.693676958342,2829.04865421655,10_19495
12,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19496.2506455991,19496.4891506805,548.165538438209,3093.49887053867,10_19495
13,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19502.8407433066,19503.0172134894,581.221815478475,2713.35168457562,10_19500
14,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19503.2713323438,19503.4447690085,564.693676958342,2762.93610013602,10_19500
15,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19503.7296125289,19503.907237361,531.637399918076,2680.29540753535,10_19500
16,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19504.1978635314,19504.3671120287,548.165538438209,2895.16120829708,10_19500
17,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19504.6489762637,19504.8349057713,548.165538438209,2812.52051569641,10_19500
18,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19518.9489905645,19519.1041977699,515.109261397944,2944.74562385748,10_19515
19,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19519.3650320746,19519.5337550032,597.749953998608,3093.49887053867,10_19515
20,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19519.7791313086,19519.932495353,498.58112287781,2994.33003941788,10_19515
21,/media/msi/TOSHIBA EXT/2019/Audios/AL/Azul/1011.wav,19520.170712616,19520.3336997457,597.749953998608,3110.02700905881,10_19520
